TeamID,TeamName,FirstD1Season,LastD1Season,TeamNameSpelling
1101,Abilene Chr,2014,2026,abilene chr
1101,Abilene Chr,2014,2026,abilene christian
1101,Abilene Chr,2014,2026,abilene-christian
1102,Air Force,1985,2026,air force
1102,Air Force,1985,2026,air-force
1103,Akron,1985,2026,akron
1104,Alabama,1985,2026,alabama
1105,Alabama A&M,2000,2026,alabama a&m
1105,Alabama A&M,2000,2026,alabama-am
1106,Alabama St,1985,2026,alabama st
1106,Alabama St,1985,2026,alabama st.
1106,Alabama St,1985,2026,alabama state
1106,Alabama St,1985,2026,alabama-st
1106,Alabama St,1985,2026,alabama-state
1107,SUNY Albany,2000,2026,albany
1107,SUNY Albany,2000,2026,albany (ny)
1107,SUNY Albany,2000,2026,albany ny
1107,SUNY Albany,2000,2026,albany-ny
1107,SUNY Albany,2000,2026,suny albany
1108,Alcorn St,1985,2026,alcorn
1108,Alcorn St,1985,2026,alcorn st
1108,Alcorn St,1985,2026,alcorn st.
1108,Alcorn St,1985,2026,alcorn state
1108,Alcorn St,1985,2026,alcorn-state
1109,Alliant Intl,1985,1991,alliant international
1109,Alliant Intl,1985,1991,alliant intl
1110,American Univ,1985,2026,american
1110,American Univ,1985,2026,american u.
1110,American Univ,1985,2026,american univ
1110,American Univ,1985,2026,american university
1110,American Univ,1985,2026,american-university
1111,Appalachian St,1985,2026,appalachian st
1111,Appalachian St,1985,2026,appalachian st.
1111,Appalachian St,1985,2026,appalachian state
1111,Appalachian St,1985,2026,appalachian-st
1111,Appalachian St,1985,2026,appalachian-state
1112,Arizona,1985,2026,arizona
1113,Arizona St,1985,2026,arizona st
1113,Arizona St,1985,2026,arizona st.
1113,Arizona St,1985,2026,arizona state
1113,Arizona St,1985,2026,arizona-st
1113,Arizona St,1985,2026,arizona-state
1114,Ark Little Rock,1985,2026,ark little rock
1114,Ark Little Rock,1985,2026,arkansas-little rock
1114,Ark Little Rock,1985,2026,arkansas-little-rock
1114,Ark Little Rock,1985,2026,little rock
1114,Ark Little Rock,1985,2026,little-rock
1114,Ark Little Rock,1985,2026,ualr
1115,Ark Pine Bluff,1999,2026,ark pine bluff
1115,Ark Pine Bluff,1999,2026,ark-pine-bluff
1115,Ark Pine Bluff,1999,2026,ark.-pine bluff
1115,Ark Pine Bluff,1999,2026,arkansas-pine bluff
1115,Ark Pine Bluff,1999,2026,arkansas-pine-bluff
1116,Arkansas,1985,2026,arkansas
1117,Arkansas St,1985,2026,arkansas st
1117,Arkansas St,1985,2026,arkansas st.
1117,Arkansas St,1985,2026,arkansas state
1117,Arkansas St,1985,2026,arkansas-st
1117,Arkansas St,1985,2026,arkansas-state
1118,Armstrong St,1987,1987,armstrong
1118,Armstrong St,1987,1987,armstrong st
1119,Army,1985,2026,army
